agent,assists,deaths,firstBloods,firstDeaths,kills,lastKills,losses,matchesPlayed,roundsPlayed,score,wins
Fade,7433441,18114959,1525912,1688249,17512495,17667655,592528,1220669,25731090,5031425625,612694
Brimstone,4749890,6860121,609678,632100,6839883,6671568,224352,463520,9738534,2040588013,232857
Deadlock,1239938,4337099,471413,514609,4368883,4225251,141673,289629,6090434,1237355695,143725
Viper,1439804,4609220,507618,511803,4803897,4495931,153317,309634,6532083,1375392969,152381
Jett,13638163,66135032,13618547,12779941,70312519,64662080,2036134,4126125,86991254,20240377794,2036118
Vyse,1389826,4318812,494984,484338,4544899,4210655,144307,294480,6202100,1303777583,146390
KAY/O,2813290,4758233,471825,527773,4465118,4644823,162310,308262,6492142,1328737218,141712
Veto,364608,1758686,232533,222978,1863458,1724191,58142,116946,2459569,529289449,57253
Chamber,8428780,43224859,8390736,6584604,48163323,42264116,1430414,2887549,60898560,13562475643,1417564
Neon,1035843,4051423,764856,814891,4061241,3966254,120076,247603,5202580,1183458061,124365
Clove,15649515,38839545,3577060,3589196,37499771,37254197,1025490,2212194,46589705,10760276047,1157661
Reyna,9974252,36956738,6348672,6229354,39704450,36124401,1165052,2345113,49392309,11443671884,1148183
Raze,5041208,18332793,3098189,3180057,18859388,17863819,562459,1146406,24156169,5627681979,569348
Skye,6935995,14080935,1377967,1512065,13509741,13707367,459358,936709,19735756,3912501861,464451
Iso,1428544,5478813,964859,916605,5639493,5370487,172162,338658,7128728,1647747989,161880
Astra,3131412,6587750,604316,587132,6887527,6439857,228329,450071,9497375,1963401760,216305
Sova,10170819,26397957,2294594,2316414,26407325,25605691,878433,1808812,38134296,7713762060,907692
Gekko,1309311,4015391,392889,448824,3741874,3910154,130856,266224,5605441,1075602672,131679
Breach,4328290,9557460,881623,988897,8882618,9292461,318317,625342,13172199,2571080390,298829
Tejo,2013476,6012432,524121,555182,5806232,5842938,203261,406420,8545244,1680211110,197810
Sage,5757213,12356371,1304106,1408339,11994452,12041092,390173,830611,17450878,3475966614,428196
Phoenix,8465743,24820458,4143577,3990461,26668290,24204119,757704,1589834,33486477,7842837885,810737
Cypher,141085,454646,51490,50723,467910,443556,15201,31084,653555,132904744,15519
Omen,9176127,18328418,1821930,1877457,18270494,17892544,626854,1206878,25455200,5255336769,564403
Waylay,2039867,8433666,1476197,1508416,8450203,8239795,269794,530514,11167590,2438260463,253891
Killjoy,3106954,12997760,1446464,1415023,13504568,12677712,434122,898165,18923614,3895533240,452977
Miks,14895067,17864372,1550201,1681976,17116133,17425510,595577,1180661,24873027,5093629041,568836
Yoru,580134,2365788,390236,391742,2405253,2315998,76678,149512,3144171,692566419,70782
Harbor,1006335,2167561,200356,218390,2088309,2114008,74535,143023,3011045,599697020,66556
